producto,country,value
expo_totales,WORLD,22143579327
expo_totales,CHL,92887987
expo_totales,CHN,3361814264
expo_totales,KOR,644438622
expo_totales,DEU,1631098969
expo_totales,USA,1754300368
expo_totales,JPN,757461387
expo_totales,POL,317832125
expo_totales,ARG,77838728
carbonato_litio,WORLD,1256121.45729
carbonato_litio,CHL,882881
carbonato_litio,CHN,99385
carbonato_litio,KOR,46310
carbonato_litio,DEU,21828
carbonato_litio,USA,18373
carbonato_litio,JPN,1779
carbonato_litio,POL,315
carbonato_litio,ARG,185250.45729
baterias_litio,WORLD,68933318
baterias_litio,CHL,887
baterias_litio,CHN,28428742
baterias_litio,KOR,5759460
baterias_litio,DEU,5854612
baterias_litio,USA,1601580
baterias_litio,JPN,3372165
baterias_litio,POL,7798244
baterias_litio,ARG,900
autos_electricos,WORLD,195579836
autos_electricos,CHL,546
autos_electricos,CHN,10139456
autos_electricos,KOR,11670453
autos_electricos,DEU,63883253
autos_electricos,USA,12692189
autos_electricos,JPN,23727049
autos_electricos,POL,24845
autos_electricos,ARG,0
